ID,Host Type,Name with Owner,Description,Fork,Created Timestamp,Updated Timestamp,Last pushed Timestamp,Homepage URL,Size,Stars Count,Language,Issues enabled,Wiki enabled,Pages enabled,Forks Count,Mirror URL,Open Issues Count,Default branch,Watchers Count,UUID,Fork Source Name with Owner,License,Contributors Count,Readme filename,Changelog filename,Contributing guidelines filename,License filename,Code of Conduct filename,Security Threat Model filename,Security Audit filename,Status,Last Synced Timestamp,SourceRank,Display Name,SCM type,Pull requests enabled,Logo URL,Keywords
36885690,GitHub,fighting41love/funNLP,"中英文敏感词、语言检测、中外手机/电话归属地/运营商查询、名字推断性别、手机号抽取、身份证抽取、邮箱抽取、中日文人名库、中文缩写库、拆字词典、词汇情感值、停用词、反动词表、暴恐词表、繁简体转换、英文模拟中文发音、汪峰歌词生成器、职业名称词库、同义词库、反义词库、否定词库、汽车品牌词库、汽车零件词库、连续英文切割、各种中文词向量、公司名字大全、古诗词库、IT词库、财经词库、成语词库、地名词库、历史名人词库、诗词词库、医学词库、饮食词库、法律词库、汽车词库、动物词库、中文聊天语料、中文谣言数据、百度中文问答数据集、句子相似度匹配算法集合、bert资源、文本生成&摘要相关工具、cocoNLP信息抽取工具、国内电话号码正则匹配、清华大学XLORE:中英文跨语言百科知识图谱、清华大学人工智能技术系列报告、自然语言生成、NLU太难了系列、自动对联数据及机器人、用户名黑名单列表、罪名法务名词及分类模型、微信公众号语料、cs224n深度学习自然语言处理课程、中文手写汉字识别、中文自然语言处理 语料/数据集、变量命名神器、分词语料库+代码、任务型对话英文数据集、ASR 语音数据集 + 基于深度学习的中文语音识别系统、笑声检测器、Microsoft多语言数字/单位/如日期时间识别包、中华新华字典数据库及api(包括常用歇后语、成语、词语和汉字)、文档图谱自动生成、SpaCy 中文模型、Common Voice语音识别数据集新版、神经网络关系抽取、基于bert的命名实体识别、关键词(Keyphrase)抽取包pke、基于医疗领域知识图谱的问答系统、基于依存句法与语义角色标注的事件三元组抽取、依存句法分析4万句高质量标注数据、cnocr：用来做中文OCR的Python3包、中文人物关系知识图谱项目、中文nlp竞赛项目及代码汇总、中文字符数据、speech-aligner: 从“人声语音”及其“语言文本”产生音素级别时间对齐标注的工具、AmpliGraph: 知识图谱表示学习(Python)库：知识图谱概念链接预测、Scattertext 文本可视化(python)、语言/知识表示工具：BERT & ERNIE、中文对比英文自然语言处理NLP的区别综述、Synonyms中文近义词工具包、HarvestText领域自适应文本挖掘工具（新词发现-情感分析-实体链接等）、word2word：(Python)方便易用的多语言词-词对集：62种语言/3,564个多语言对、语音识别语料生成工具：从具有音频/字幕的在线视频创建自动语音识别(ASR)语料库、构建医疗实体识别的模型（包含词典和语料标注）、单文档非监督的关键词抽取、Kashgari中使用gpt-2语言模型、开源的金融投资数据提取工具、文本自动摘要库TextTeaser: 仅支持英文、人民日报语料处理工具集、一些关于自然语言的基本模型、基于14W歌曲知识库的问答尝试--功能包括歌词接龙and已知歌词找歌曲以及歌曲歌手歌词三角关系的问答、基于Siamese bilstm模型的相似句子判定模型并提供训练数据集和测试数据集、用Transformer编解码模型实现的根据Hacker News文章标题自动生成评论、用BERT进行序列标记和文本分类的模板代码、LitBank：NLP数据集——支持自然语言处理和计算人文学科任务的100部带标记英文小说语料、百度开源的基准信息抽取系统、虚假新闻数据集、Facebook: LAMA语言模型分析，提供Transformer-XL/BERT/ELMo/GPT预训练语言模型的统一访问接口、CommonsenseQA：面向常识的英文QA挑战、中文知识图谱资料、数据及工具、各大公司内部里大牛分享的技术文档 PDF 或者 PPT、自然语言生成SQL语句（英文）、中文NLP数据增强（EDA）工具、英文NLP数据增强工具 、基于医药知识图谱的智能问答系统、京东商品知识图谱、基于mongodb存储的军事领域知识图谱问答项目、基于远监督的中文关系抽取、语音情感分析、中文ULMFiT-情感分析-文本分类-语料及模型、一个拍照做题程序、世界各国大规模人名库、一个利用有趣中文语料库 qingyun 训练出来的中文聊天机器人、中文聊天机器人seqGAN、省市区镇行政区划数据带拼音标注、教育行业新闻语料库包含自动文摘功能、开放了对话机器人-知识图谱-语义理解-自然语言处理工具及数据、中文知识图谱：基于百度百科中文页面-抽取三元组信息-构建中文知识图谱、masr: 中文语音识别-提供预训练模型-高识别率、Python音频数据增广库、中文全词覆盖BERT及两份阅读理解数据、ConvLab：开源多域端到端对话系统平台、中文自然语言处理数据集、基于最新版本rasa搭建的对话系统、基于TensorFlow和BERT的管道式实体及关系抽取、一个小型的证券知识图谱/知识库、复盘所有NLP比赛的TOP方案、OpenCLaP：多领域开源中文预训练语言模型仓库、中文自然语言处理向量合集、基于金融-司法领域(兼有闲聊性质)的聊天机器人、g2pC：基于上下文的汉语读音自动标记模块、Zincbase 知识图谱构建工具包、诗歌质量评价/细粒度情感诗歌语料库。",FALSE,2018-08-21 11:20:39 UTC,2019-12-31 10:53:58 UTC,2019-12-27 03:10:29 UTC,https://zhuanlan.zhihu.com/yangyangfuture,106461,15892,Python,TRUE,TRUE,FALSE,4751,,5,master,708,145553672,,,1,README.md,,,,,,,,2018-11-09 07:30:56 UTC,5,GitHub,,git,,
845210,GitHub,explosion/spaCy,💫 Industrial-strength Natural Language Processing (NLP) with Python and Cython,FALSE,2014-07-03 15:15:40 UTC,2019-11-26 15:11:08 UTC,2019-11-26 15:10:09 UTC,https://spacy.io,165659,15161,Python,TRUE,FALSE,FALSE,2654,,154,master,559,21467110,,MIT,417,README.md,,CONTRIBUTING.md,LICENSE,,,,,2019-11-21 18:37:19 UTC,15,GitHub,,git,,
21731413,GitHub,yunjey/pytorch-tutorial,PyTorch Tutorial for Deep Learning Researchers,FALSE,2017-03-10 07:41:47 UTC,2019-12-27 01:27:18 UTC,2019-10-24 09:31:59 UTC,,13089,14961,Python,TRUE,TRUE,FALSE,4680,,61,master,531,84533158,,MIT,5,README.md,,,LICENSE,,,,,2017-05-06 14:07:38 UTC,6,GitHub,,git,,
20390959,GitHub,eriklindernoren/ML-From-Scratch,Machine Learning From Scratch. Bare bones NumPy implementations of machine learning models and algorithms with a focus on accessibility. Aims to cover everything from linear regression to deep learning.,FALSE,2017-02-05 12:11:23 UTC,2019-12-29 14:18:54 UTC,2019-12-07 00:57:23 UTC,,553,14807,Python,TRUE,TRUE,FALSE,2790,,22,master,773,80990461,,MIT,1,README.md,,,LICENSE,,,,,2017-06-17 21:20:34 UTC,8,GitHub,,git,,
2570288,GitHub,ChristosChristofidis/awesome-deep-learning,"A curated list of awesome Deep Learning tutorials, projects and communities.",FALSE,2015-01-02 19:28:35 UTC,2019-12-24 02:14:23 UTC,2019-12-12 09:19:59 UTC,,320,14310,,TRUE,TRUE,TRUE,4521,,36,master,1284,28723659,,,12,,,,,,,,,2017-11-24 18:51:49 UTC,8,GitHub,,git,,
19864485,GitHub,oxford-cs-deepnlp-2017/lectures, Oxford Deep NLP 2017 course,FALSE,2017-02-06 11:32:46 UTC,2019-11-12 13:50:26 UTC,2017-06-12 12:51:38 UTC,,48981,14304,,TRUE,TRUE,FALSE,3422,,9,master,1271,81080671,,,3,README.md,,,,,,,,2017-02-13 11:01:58 UTC,6,GitHub,,git,,
36882904,GitHub,sebastianruder/NLP-progress,"Repository to track the progress in Natural Language Processing (NLP), including the datasets and the current state-of-the-art for the most common NLP tasks.",FALSE,2018-06-22 17:43:55 UTC,2019-12-27 14:11:28 UTC,2019-12-25 13:04:33 UTC,https://nlpprogress.com/,986,13557,Python,TRUE,TRUE,TRUE,2346,,27,master,1106,138331573,,MIT,64,README.md,,,LICENSE,,,,,2018-11-09 04:53:21 UTC,8,GitHub,,git,,
37141950,GitHub,trekhleb/homemade-machine-learning,🤖 Python examples of popular machine learning algorithms with interactive Jupyter demos and math being explained,FALSE,2018-11-01 04:34:19 UTC,2019-12-26 14:33:35 UTC,2019-10-26 05:01:12 UTC,,14849,13533,Jupyter Notebook,TRUE,FALSE,FALSE,2643,,18,master,732,155662306,,MIT,1,README.md,,,LICENSE,CODE_OF_CONDUCT.md,,,,2018-11-24 03:59:29 UTC,4,GitHub,,git,,
2249305,GitHub,ty4z2008/Qix,Machine Learning、Deep Learning、PostgreSQL、Distributed System、Node.Js、Golang,FALSE,2014-04-20 11:03:15 UTC,2019-11-10 01:43:52 UTC,2019-11-09 15:57:46 UTC,http://ty4z2008.github.io/Qix,2327,12960,,TRUE,TRUE,TRUE,4687,,0,master,1868,18962767,,Other,2,,,,,,,,,2017-11-24 18:52:08 UTC,9,GitHub,,git,,
2674263,GitHub,cmusatyalab/openface,Face recognition with deep neural networks.,FALSE,2015-09-16 12:47:27 UTC,2019-11-22 08:39:05 UTC,2019-10-23 05:04:22 UTC,http://cmusatyalab.github.io/openface/,24591,12847,Lua,TRUE,TRUE,TRUE,3206,,4,master,777,42586612,,Apache-2.0,16,README.md,,CONTRIBUTING.md,LICENSE,,,,,2017-04-07 16:18:48 UTC,9,GitHub,,git,,
34803318,GitHub,tensorflow/tfjs,A WebGL accelerated JavaScript library for training and deploying ML models.,FALSE,2018-03-05 05:41:02 UTC,2020-01-09 10:04:42 UTC,2020-01-09 16:34:02 UTC,https://js.tensorflow.org,46064,12417,TypeScript,TRUE,FALSE,FALSE,1010,,488,master,345,123870315,,Apache-2.0,194,README.md,,CONTRIBUTING.md,LICENSE,,,,,2019-08-22 14:48:52 UTC,16,GitHub,,git,,
573443,GitHub,apache/predictionio,"PredictionIO, a machine learning server for developers and ML engineers.",FALSE,2013-01-25 19:42:32 UTC,2019-12-19 01:58:57 UTC,2019-12-16 21:02:42 UTC,https://predictionio.apache.org,36295,12226,Scala,FALSE,FALSE,FALSE,1998,,73,develop,795,7827081,,Apache-2.0,119,README.md,,CONTRIBUTING.md,LICENSE.txt,,,,,2016-11-24 16:16:59 UTC,10,GitHub,,git,,
24733600,GitHub,kailashahirwar/cheatsheets-ai,Essential Cheat Sheets for deep learning and machine learning researchers,FALSE,2017-05-24 12:06:56 UTC,2019-04-21 01:42:23 UTC,2019-02-20 19:31:02 UTC,https://medium.com/@kailashahirwar/essential-cheat-sheets-for-machine-learning-and-deep-learning-researchers-efb6a8ebd2e5,28314,12016,,TRUE,TRUE,TRUE,2846,,9,master,1039,92287968,,MIT,1,README.md,,,,,,,,2017-05-28 22:47:59 UTC,2,GitHub,,git,,
20984318,GitHub,apachecn/AiLearning,AiLearning: 机器学习 - MachineLearning - ML、深度学习 - DeepLearning - DL、自然语言处理 NLP,FALSE,2017-02-25 08:53:02 UTC,2019-04-23 01:27:23 UTC,2019-04-18 14:41:48 UTC,http://ailearning.apachecn.org/,143031,11758,Python,TRUE,FALSE,FALSE,4156,,25,dev,829,83119431,,GPL-3.0,1,t,f,f,f,f,f,f,,2017-02-25 08:53:59 UTC,8,GitHub,,git,,
36909735,GitHub,iperov/DeepFaceLab,"DeepFaceLab is a tool that utilizes machine learning to replace faces in videos. Includes prebuilt ready to work standalone Windows 7,8,10 binary (look readme.md).",FALSE,2018-06-04 13:10:00 UTC,2019-12-30 17:10:31 UTC,2019-12-29 15:38:07 UTC,,474596,11647,Python,TRUE,TRUE,FALSE,2669,,156,master,521,136026789,,GPL-3.0,5,README.md,,,LICENSE,,,,,2018-11-15 19:25:33 UTC,5,GitHub,,git,,
