,Explained Variance,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error,Mean Squared Log Error,Median Absolute Error,R-Squared,Mean Absolute Percentage Error,D-Squared Absolute Error Score,D-Squared Pinball Score,Raw Mean Absolute Percentage Error,Error Ensemble
LinearRegression~p980,-0.1563474523276918,-0.9463760356647669,-0.6766720600221944,-0.9493138119992823,-0.5079544292747756,-0.9455196910534331,-0.20287654169399222,-0.5779239064381315,-0.0,-0.0,0.08401602394514675,-0.8441797992340326
LinearRegression~p868,-0.16738387495227003,-0.5997730696394437,-0.5800750249312818,-0.6036883448031785,-0.4910848776084142,-0.6036181867637643,-0.19367322544232674,-0.5367588012346208,-0.0,-0.0,0.10054238509384479,-0.632179447394732
LinearRegression~p957,-0.18491431247757936,-1.104424521566614,-0.6992290233310717,-1.1000996672809558,-0.5344952832227704,-1.1030944425934488,-0.2061299906606204,-0.6813835168322128,-0.0,-0.0,0.04248058082594968,-0.9571746057825483
LinearRegression~p635,0.5166103327735676,-0.3410908254735543,-0.46624658447809836,-0.34376449498487593,-0.06884332269902994,-0.33976061697769,0.16669896347311478,0.18592600137727242,-0.0,-0.0,0.3906752533470552,-0.18950805899987794
LinearRegression~p722,-0.040147208777788754,-0.624829035434012,-0.5888748656420901,-0.6278912142744854,-0.3259913935690229,-0.6193493837503496,-0.15965656137456968,-0.16683655507946304,-0.0,-0.0,0.24905332917316034,-0.5379356024060143
LinearRegression~p529,-0.18491431247757936,1.0244974481489713,0.7161991103839265,1.0247682562571343,-0.270660118947836,1.025672649846937,-0.2061299906606204,-0.25401051411849535,-0.0,-0.0,0.21405600989707613,0.54843482908466
LinearRegression~p278,-0.17040298256520925,-0.09685171118870217,-0.3274014127179236,-0.10005209414897633,-0.3722888307960199,-0.09726762826207046,-0.16959965880064226,-0.35108537949871355,-0.0,-0.0,0.17508382032526587,-0.262394993056685
LinearRegression~p798,-0.1346803636059451,0.8603219189784127,0.5240503594821136,0.8618588519382638,-0.31259118815882436,0.8350200727040274,-0.17671681646106333,-0.16949693204079208,-0.0,-0.0,0.24798528014869556,0.43821847679920356
LinearRegression~p424,-0.18491431247757936,-0.9791266818290516,-0.6821272079112864,-0.9794242383700268,-0.5236073873489432,-0.9812767551542224,-0.2061299906606204,-0.6321497100002647,-0.0,-0.0,0.062246245662890755,-0.8775549743758944
LinearRegression~p148,-0.18491431247757936,0.31489387090942805,-0.017981867712038527,0.31666647317955604,-0.4218091843236768,0.3389851315003968,-0.2061299906606204,-0.353746181163093,-0.0,-0.0,0.17401560079726522,0.0035362704988704976
LinearRegression~p594,-0.18491431247757936,1.2439503128395806,0.9966227806917769,1.2439423206315268,0.6217395308927081,1.244362666392059,-0.2061299906606204,0.8540031164644101,-0.0,-0.0,0.6588850301598872,1.0650568220056398
LinearRegression~p989,0.02162928770227475,-0.947564585031353,-0.6765069673503783,-0.9484415895355197,-0.4916444150259227,-0.9261351736798359,-0.19305327774626557,-0.5063102830464986,-0.0,-0.0,0.11276640846344121,-0.8123796827179495
LinearRegression~p1019,-0.060897740196287804,1.0331707520444424,0.7272828951100176,1.0338201095520523,0.790400174517015,1.0438293295305532,-0.06911424305807773,0.257171621536748,-0.0,-0.0,0.41927789733879317,0.8451462147538024
LinearRegression~p463,-0.18491431247757936,1.2376183999927615,0.9884605141678349,1.2378292020044852,-0.01317092042937968,1.247987247059865,-0.2061299906606204,-0.07347507637375188,-0.0,-0.0,0.28653472286422954,0.7862516485801415
